,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
634,Gemini,Leo,GeminiLeo,0.88
636,Aquarius,Leo,AquariusLeo,0.68
637,Capricorn,Aquarius,CapricornAquarius,0.69
638,Taurus,Leo,TaurusLeo,0.73
639,Leo,Sagittarius,LeoSagittarius,0.93
641,Capricorn,Taurus,CapricornTaurus,0.98
642,Pisces,Taurus,PiscesTaurus,0.85
643,Aries,Virgo,AriesVirgo,0.63
644,Sagittarius,Taurus,SagittariusTaurus,0.3
645,Aquarius,Leo,AquariusLeo,0.68
646,Aquarius,Taurus,AquariusTaurus,0.58
647,Gemini,Capricorn,GeminiCapricorn,0.69
648,Leo,Aries,LeoAries,0.97
649,Scorpio,Cancer,ScorpioCancer,0.94
650,Leo,Leo,LeoLeo,0.45
651,Sagittarius,Virgo,SagittariusVirgo,0.48
652,Scorpio,Capricorn,ScorpioCapricorn,0.95
653,Scorpio,Pisces,ScorpioPisces,0.97
654,Gemini,Leo,GeminiLeo,0.88
655,Virgo,Pisces,VirgoPisces,0.88
656,Sagittarius,Capricorn,SagittariusCapricorn,0.6
657,Libra,Capricorn,LibraCapricorn,0.55
658,Capricorn,Leo,CapricornLeo,0.35
659,Scorpio,Scorpio,ScorpioScorpio,0.8
661,Leo,Aquarius,LeoAquarius,0.69
662,Pisces,Leo,PiscesLeo,0.38
663,Aries,Leo,AriesLeo,0.97
664,Cancer,Capricorn,CancerCapricorn,0.83
665,Libra,Leo,LibraLeo,0.97
666,Cancer,Virgo,CancerVirgo,0.9
668,Capricorn,Pisces,CapricornPisces,0.88
669,Gemini,Scorpio,GeminiScorpio,0.28
670,Pisces,Gemini,PiscesGemini,0.53
671,Cancer,Scorpio,CancerScorpio,0.94
672,Aquarius,Aquarius,AquariusAquarius,0.45
673,Virgo,Cancer,VirgoCancer,0.9
675,Aries,Aries,AriesAries,0.5
676,Scorpio,Gemini,ScorpioGemini,0.28
677,Cancer,Aquarius,CancerAquarius,0.27
679,Leo,Scorpio,LeoScorpio,0.58
680,Sagittarius,Sagittarius,SagittariusSagittarius,0.45
681,Aquarius,Capricorn,AquariusCapricorn,0.69
682,Libra,Capricorn,LibraCapricorn,0.55
683,Pisces,Taurus,PiscesTaurus,0.85
685,Cancer,Aquarius,CancerAquarius,0.27
686,Sagittarius,Leo,SagittariusLeo,0.93
687,Gemini,Pisces,GeminiPisces,0.53
688,Gemini,Scorpio,GeminiScorpio,0.28
689,Gemini,Scorpio,GeminiScorpio,0.28
690,Capricorn,Gemini,CapricornGemini,0.68
691,Leo,Cancer,LeoCancer,0.35
693,Aries,Scorpio,AriesScorpio,0.5
694,Aquarius,Taurus,AquariusTaurus,0.58
695,Leo,Aquarius,LeoAquarius,0.69
697,Scorpio,Cancer,ScorpioCancer,0.94
698,Capricorn,Cancer,CapricornCancer,0.83
700,Libra,Taurus,LibraTaurus,0.65
701,Virgo,Aries,VirgoAries,0.63
702,Capricorn,Scorpio,CapricornScorpio,0.95
703,Virgo,Pisces,VirgoPisces,0.88
704,Gemini,Aquarius,GeminiAquarius,0.85
705,Capricorn,Capricorn,CapricornCapricorn,0.75
706,Cancer,Aquarius,CancerAquarius,0.27
707,Taurus,Aquarius,TaurusAquarius,0.58
708,Cancer,Aries,CancerAries,0.42
709,Cancer,Cancer,CancerCancer,0.75
710,Taurus,Gemini,TaurusGemini,0.33
711,Sagittarius,Scorpio,SagittariusScorpio,0.28
712,Leo,Virgo,LeoVirgo,0.35
713,Aquarius,Taurus,AquariusTaurus,0.58
714,Leo,Sagittarius,LeoSagittarius,0.93
715,Cancer,Cancer,CancerCancer,0.75
716,Pisces,Libra,PiscesLibra,0.88
717,Aquarius,Virgo,AquariusVirgo,0.3
718,Taurus,Sagittarius,TaurusSagittarius,0.3
719,Libra,Pisces,LibraPisces,0.88
720,Aries,Aquarius,AriesAquarius,0.78
721,Aquarius,Aquarius,AquariusAquarius,0.45
722,Aries,Pisces,AriesPisces,0.67
723,Aquarius,Leo,AquariusLeo,0.68
724,Capricorn,Gemini,CapricornGemini,0.68
725,Libra,Aries,LibraAries,0.85
726,Libra,Taurus,LibraTaurus,0.65
727,Leo,Sagittarius,LeoSagittarius,0.93
728,Scorpio,Aries,ScorpioAries,0.5
729,Scorpio,Aries,ScorpioAries,0.5
730,Libra,Libra,LibraLibra,0.75
731,Leo,Libra,LeoLibra,0.97
732,Capricorn,Gemini,CapricornGemini,0.68
733,Gemini,Pisces,GeminiPisces,0.53
734,Sagittarius,Aquarius,SagittariusAquarius,0.9
735,Scorpio,Taurus,ScorpioTaurus,0.88
736,Pisces,Gemini,PiscesGemini,0.53
737,Gemini,Pisces,GeminiPisces,0.53
738,Taurus,Taurus,TaurusTaurus,0.58
739,Leo,Leo,LeoLeo,0.45
741,Virgo,Gemini,VirgoGemini,0.68
742,Cancer,Scorpio,CancerScorpio,0.94
743,Taurus,Gemini,TaurusGemini,0.33
744,Cancer,Leo,CancerLeo,0.35
745,Leo,Taurus,LeoTaurus,0.73
746,Virgo,Virgo,VirgoVirgo,0.65
747,Capricorn,Sagittarius,CapricornSagittarius,0.6
748,Aries,Leo,AriesLeo,0.97
749,Libra,Gemini,LibraGemini,0.93
750,Scorpio,Taurus,ScorpioTaurus,0.88
751,Aries,Virgo,AriesVirgo,0.63
752,Aries,Cancer,AriesCancer,0.42
753,Leo,Virgo,LeoVirgo,0.35
754,Libra,Aries,LibraAries,0.85
755,Virgo,Gemini,VirgoGemini,0.68
756,Gemini,Gemini,GeminiGemini,0.6
757,Aquarius,Cancer,AquariusCancer,0.27
759,Taurus,Sagittarius,TaurusSagittarius,0.3
760,Aries,Pisces,AriesPisces,0.67
761,Gemini,Sagittarius,GeminiSagittarius,0.6
762,Pisces,Capricorn,PiscesCapricorn,0.88
763,Sagittarius,Aries,SagittariusAries,0.93
764,Scorpio,Cancer,ScorpioCancer,0.94
765,Pisces,Capricorn,PiscesCapricorn,0.88
766,Taurus,Gemini,TaurusGemini,0.33
767,Leo,Aquarius,LeoAquarius,0.69
769,Scorpio,Taurus,ScorpioTaurus,0.88
770,Leo,Virgo,LeoVirgo,0.35
771,Capricorn,Scorpio,CapricornScorpio,0.95
772,Capricorn,Pisces,CapricornPisces,0.88
773,Pisces,Scorpio,PiscesScorpio,0.97
774,Cancer,Pisces,CancerPisces,0.98
775,Virgo,Aries,VirgoAries,0.63
777,Libra,Virgo,LibraVirgo,0.68
778,Capricorn,Leo,CapricornLeo,0.35
779,Leo,Cancer,LeoCancer,0.35
780,Scorpio,Capricorn,ScorpioCapricorn,0.95
782,Scorpio,Cancer,ScorpioCancer,0.94
783,Aries,Sagittarius,AriesSagittarius,0.93
784,Scorpio,Sagittarius,ScorpioSagittarius,0.28
786,Taurus,Pisces,TaurusPisces,0.85
788,Pisces,Cancer,PiscesCancer,0.98
789,Gemini,Leo,GeminiLeo,0.88
790,Gemini,Pisces,GeminiPisces,0.53
791,Taurus,Leo,TaurusLeo,0.73
792,Gemini,Pisces,GeminiPisces,0.53
793,Cancer,Aries,CancerAries,0.42
794,Pisces,Aries,PiscesAries,0.67
795,Capricorn,Cancer,CapricornCancer,0.83
796,Gemini,Aquarius,GeminiAquarius,0.85
797,Cancer,Taurus,CancerTaurus,0.97
798,Leo,Pisces,LeoPisces,0.38
799,Leo,Pisces,LeoPisces,0.38
800,Scorpio,Gemini,ScorpioGemini,0.28
802,Pisces,Libra,PiscesLibra,0.88
803,Taurus,Sagittarius,TaurusSagittarius,0.3
804,Libra,Taurus,LibraTaurus,0.65
805,Pisces,Scorpio,PiscesScorpio,0.97
806,Pisces,Capricorn,PiscesCapricorn,0.88
807,Libra,Capricorn,LibraCapricorn,0.55
808,Pisces,Libra,PiscesLibra,0.88
810,Pisces,Capricorn,PiscesCapricorn,0.88
811,Taurus,Scorpio,TaurusScorpio,0.88
813,Scorpio,Aries,ScorpioAries,0.5
814,Capricorn,Virgo,CapricornVirgo,0.95
815,Aquarius,Libra,AquariusLibra,0.9
816,Leo,Gemini,LeoGemini,0.88
818,Cancer,Gemini,CancerGemini,0.65
820,Sagittarius,Pisces,SagittariusPisces,0.63
821,Aquarius,Virgo,AquariusVirgo,0.3
822,Capricorn,Cancer,CapricornCancer,0.83
823,Taurus,Taurus,TaurusTaurus,0.58
824,Scorpio,Virgo,ScorpioVirgo,0.88
825,Pisces,Leo,PiscesLeo,0.38
826,Aquarius,Leo,AquariusLeo,0.68
828,Gemini,Gemini,GeminiGemini,0.6
829,Aquarius,Pisces,AquariusPisces,0.45
830,Libra,Gemini,LibraGemini,0.93
831,Scorpio,Capricorn,ScorpioCapricorn,0.95
832,Libra,Gemini,LibraGemini,0.93
833,Cancer,Pisces,CancerPisces,0.98
834,Taurus,Aries,TaurusAries,0.38
835,Leo,Virgo,LeoVirgo,0.35
836,Aquarius,Gemini,AquariusGemini,0.85
837,Pisces,Leo,PiscesLeo,0.38
838,Aries,Capricorn,AriesCapricorn,0.47
839,Cancer,Pisces,CancerPisces,0.98
840,Sagittarius,Aquarius,SagittariusAquarius,0.9
841,Taurus,Pisces,TaurusPisces,0.85
842,Capricorn,Sagittarius,CapricornSagittarius,0.6
843,Virgo,Aries,VirgoAries,0.63
844,Sagittarius,Aquarius,SagittariusAquarius,0.9
845,Taurus,Sagittarius,TaurusSagittarius,0.3
846,Virgo,Gemini,VirgoGemini,0.68
847,Scorpio,Capricorn,ScorpioCapricorn,0.95
848,Pisces,Pisces,PiscesPisces,0.6
850,Leo,Leo,LeoLeo,0.45
851,Sagittarius,Scorpio,SagittariusScorpio,0.28
852,Sagittarius,Aquarius,SagittariusAquarius,0.9
853,Scorpio,Aquarius,ScorpioAquarius,0.73
854,Gemini,Gemini,GeminiGemini,0.6
855,Gemini,Leo,GeminiLeo,0.88
856,Gemini,Taurus,GeminiTaurus,0.33
857,Libra,Gemini,LibraGemini,0.93
858,Sagittarius,Aquarius,SagittariusAquarius,0.9
859,Sagittarius,Libra,SagittariusLibra,0.73
860,Scorpio,Taurus,ScorpioTaurus,0.88
861,Libra,Aquarius,LibraAquarius,0.9
862,Libra,Leo,LibraLeo,0.97
863,Scorpio,Cancer,ScorpioCancer,0.94
864,Sagittarius,Taurus,SagittariusTaurus,0.3
865,Gemini,Leo,GeminiLeo,0.88
866,Leo,Cancer,LeoCancer,0.35
867,Virgo,Virgo,VirgoVirgo,0.65
868,Taurus,Sagittarius,TaurusSagittarius,0.3
869,Aries,Sagittarius,AriesSagittarius,0.93
870,Taurus,Scorpio,TaurusScorpio,0.88
871,Capricorn,Capricorn,CapricornCapricorn,0.75
872,Leo,Taurus,LeoTaurus,0.73
873,Libra,Pisces,LibraPisces,0.88
874,Scorpio,Taurus,ScorpioTaurus,0.88
875,Pisces,Libra,PiscesLibra,0.88
876,Scorpio,Gemini,ScorpioGemini,0.28
877,Taurus,Taurus,TaurusTaurus,0.58
878,Pisces,Pisces,PiscesPisces,0.6
879,Cancer,Aries,CancerAries,0.42
880,Taurus,Cancer,TaurusCancer,0.97
881,Cancer,Virgo,CancerVirgo,0.9
882,Virgo,Leo,VirgoLeo,0.35
883,Taurus,Libra,TaurusLibra,0.65
884,Leo,Cancer,LeoCancer,0.35
886,Aquarius,Leo,AquariusLeo,0.68
887,Scorpio,Aquarius,ScorpioAquarius,0.73
888,Scorpio,Capricorn,ScorpioCapricorn,0.95
889,Taurus,Leo,TaurusLeo,0.73
890,Aquarius,Virgo,AquariusVirgo,0.3
891,Pisces,Sagittarius,PiscesSagittarius,0.63
892,Aries,Virgo,AriesVirgo,0.63
893,Cancer,Scorpio,CancerScorpio,0.94
895,Gemini,Sagittarius,GeminiSagittarius,0.6
896,Pisces,Capricorn,PiscesCapricorn,0.88
897,Leo,Leo,LeoLeo,0.45
898,Aquarius,Leo,AquariusLeo,0.68
899,Sagittarius,Virgo,SagittariusVirgo,0.48
900,Scorpio,Virgo,ScorpioVirgo,0.88
901,Leo,Pisces,LeoPisces,0.38
902,Leo,Taurus,LeoTaurus,0.73
903,Virgo,Sagittarius,VirgoSagittarius,0.48
904,Aries,Capricorn,AriesCapricorn,0.47
905,Taurus,Cancer,TaurusCancer,0.97
906,Virgo,Aries,VirgoAries,0.63
907,Libra,Taurus,LibraTaurus,0.65
908,Pisces,Pisces,PiscesPisces,0.6
909,Cancer,Libra,CancerLibra,0.43
910,Taurus,Leo,TaurusLeo,0.73
911,Pisces,Capricorn,PiscesCapricorn,0.88
912,Libra,Scorpio,LibraScorpio,0.35
913,Sagittarius,Sagittarius,SagittariusSagittarius,0.45
914,Leo,Taurus,LeoTaurus,0.73
916,Capricorn,Gemini,CapricornGemini,0.68
918,Libra,Sagittarius,LibraSagittarius,0.73
919,Taurus,Scorpio,TaurusScorpio,0.88
920,Virgo,Aquarius,VirgoAquarius,0.3
921,Aquarius,Cancer,AquariusCancer,0.27
922,Capricorn,Taurus,CapricornTaurus,0.98
923,Aquarius,Aries,AquariusAries,0.78
924,Leo,Virgo,LeoVirgo,0.35
926,Gemini,Pisces,GeminiPisces,0.53
927,Libra,Scorpio,LibraScorpio,0.35
928,Scorpio,Virgo,ScorpioVirgo,0.88
929,Virgo,Pisces,VirgoPisces,0.88
930,Taurus,Gemini,TaurusGemini,0.33
931,Gemini,Libra,GeminiLibra,0.93
932,Cancer,Aquarius,CancerAquarius,0.27
934,Scorpio,Taurus,ScorpioTaurus,0.88
935,Cancer,Gemini,CancerGemini,0.65
936,Pisces,Pisces,PiscesPisces,0.6
937,Aries,Aquarius,AriesAquarius,0.78
938,Taurus,Capricorn,TaurusCapricorn,0.98
939,Pisces,Libra,PiscesLibra,0.88
940,Scorpio,Scorpio,ScorpioScorpio,0.8
941,Cancer,Pisces,CancerPisces,0.98
942,Gemini,Scorpio,GeminiScorpio,0.28
943,Sagittarius,Aquarius,SagittariusAquarius,0.9
944,Scorpio,Capricorn,ScorpioCapricorn,0.95
945,Scorpio,Capricorn,ScorpioCapricorn,0.95
946,Cancer,Cancer,CancerCancer,0.75
947,Leo,Cancer,LeoCancer,0.35
948,Aquarius,Aquarius,AquariusAquarius,0.45
949,Scorpio,Libra,ScorpioLibra,0.35
950,Sagittarius,Virgo,SagittariusVirgo,0.48
951,Aquarius,Cancer,AquariusCancer,0.27
952,Aquarius,Pisces,AquariusPisces,0.45
953,Capricorn,Gemini,CapricornGemini,0.68
954,Leo,Leo,LeoLeo,0.45
955,Sagittarius,Leo,SagittariusLeo,0.93
956,Pisces,Aries,PiscesAries,0.67
959,Cancer,Libra,CancerLibra,0.43
960,Aries,Sagittarius,AriesSagittarius,0.93
961,Virgo,Capricorn,VirgoCapricorn,0.95
962,Sagittarius,Cancer,SagittariusCancer,0.53
964,Virgo,Gemini,VirgoGemini,0.68
965,Leo,Taurus,LeoTaurus,0.73
967,Pisces,Leo,PiscesLeo,0.38
968,Gemini,Virgo,GeminiVirgo,0.68
969,Scorpio,Libra,ScorpioLibra,0.35
970,Libra,Libra,LibraLibra,0.75
971,Leo,Gemini,LeoGemini,0.88
972,Cancer,Capricorn,CancerCapricorn,0.83
975,Pisces,Virgo,PiscesVirgo,0.88
976,Virgo,Scorpio,VirgoScorpio,0.88
978,Libra,Cancer,LibraCancer,0.43
981,Aries,Virgo,AriesVirgo,0.63
982,Gemini,Aquarius,GeminiAquarius,0.85
983,Taurus,Virgo,TaurusVirgo,0.9
984,Taurus,Gemini,TaurusGemini,0.33
985,Libra,Taurus,LibraTaurus,0.65
986,Pisces,Cancer,PiscesCancer,0.98
987,Virgo,Libra,VirgoLibra,0.69
988,Scorpio,Taurus,ScorpioTaurus,0.88
989,Aries,Leo,AriesLeo,0.97
990,Aquarius,Gemini,AquariusGemini,0.85
991,Aquarius,Libra,AquariusLibra,0.9
992,Leo,Libra,LeoLibra,0.97
994,Virgo,Gemini,VirgoGemini,0.68
995,Virgo,Pisces,VirgoPisces,0.88
996,Libra,Taurus,LibraTaurus,0.65
997,Pisces,Aquarius,PiscesAquarius,0.45
998,Virgo,Pisces,VirgoPisces,0.88
999,Gemini,Leo,GeminiLeo,0.88
1000,Aries,Capricorn,AriesCapricorn,0.47
1001,Taurus,Gemini,TaurusGemini,0.33
1002,Pisces,Aries,PiscesAries,0.67
1003,Sagittarius,Aquarius,SagittariusAquarius,0.9
1005,Aquarius,Cancer,AquariusCancer,0.27
1006,Scorpio,Taurus,ScorpioTaurus,0.88
1007,Aries,Capricorn,AriesCapricorn,0.47
1010,Libra,Libra,LibraLibra,0.75
1011,Gemini,Virgo,GeminiVirgo,0.68
1012,Gemini,Libra,GeminiLibra,0.93
1013,Scorpio,Pisces,ScorpioPisces,0.97
1014,Scorpio,Cancer,ScorpioCancer,0.94
1015,Aries,Cancer,AriesCancer,0.42
1016,Pisces,Sagittarius,PiscesSagittarius,0.63
1017,Taurus,Virgo,TaurusVirgo,0.9
1018,Virgo,Capricorn,VirgoCapricorn,0.95
1019,Capricorn,Capricorn,CapricornCapricorn,0.75
1020,Leo,Virgo,LeoVirgo,0.35
1021,Scorpio,Aries,ScorpioAries,0.5
1022,Capricorn,Capricorn,CapricornCapricorn,0.75
1023,Leo,Cancer,LeoCancer,0.35
1024,Taurus,Aquarius,TaurusAquarius,0.58
1025,Gemini,Leo,GeminiLeo,0.88
1026,Taurus,Gemini,TaurusGemini,0.33
1027,Aquarius,Gemini,AquariusGemini,0.85
1029,Aries,Libra,AriesLibra,0.85
1031,Aquarius,Cancer,AquariusCancer,0.27
1033,Cancer,Taurus,CancerTaurus,0.97
1034,Leo,Scorpio,LeoScorpio,0.58
1035,Pisces,Aries,PiscesAries,0.67
1036,Aries,Aquarius,AriesAquarius,0.78
1037,Leo,Pisces,LeoPisces,0.38
1038,Pisces,Aries,PiscesAries,0.67
1039,Pisces,Sagittarius,PiscesSagittarius,0.63
1040,Scorpio,Taurus,ScorpioTaurus,0.88
1041,Cancer,Cancer,CancerCancer,0.75
1042,Cancer,Libra,CancerLibra,0.43
1043,Virgo,Scorpio,VirgoScorpio,0.88
1044,Aries,Pisces,AriesPisces,0.67
1045,Pisces,Taurus,PiscesTaurus,0.85
1046,Libra,Aquarius,LibraAquarius,0.9
1047,Sagittarius,Leo,SagittariusLeo,0.93
1048,Cancer,Sagittarius,CancerSagittarius,0.53
1049,Libra,Pisces,LibraPisces,0.88
1050,Cancer,Leo,CancerLeo,0.35
1051,Taurus,Leo,TaurusLeo,0.73
1052,Gemini,Aries,GeminiAries,0.83
1053,Gemini,Aries,GeminiAries,0.83
1054,Virgo,Pisces,VirgoPisces,0.88
1055,Virgo,Taurus,VirgoTaurus,0.9
1056,Sagittarius,Aries,SagittariusAries,0.93
1057,Sagittarius,Pisces,SagittariusPisces,0.63
1058,Capricorn,Pisces,CapricornPisces,0.88
1059,Aries,Taurus,AriesTaurus,0.38
1060,Capricorn,Capricorn,CapricornCapricorn,0.75
1061,Cancer,Sagittarius,CancerSagittarius,0.53
1062,Scorpio,Leo,ScorpioLeo,0.58
1065,Sagittarius,Taurus,SagittariusTaurus,0.3
1066,Aquarius,Virgo,AquariusVirgo,0.3
1067,Leo,Virgo,LeoVirgo,0.35
1068,Gemini,Sagittarius,GeminiSagittarius,0.6
1069,Scorpio,Scorpio,ScorpioScorpio,0.8
1070,Leo,Scorpio,LeoScorpio,0.58
1071,Sagittarius,Scorpio,SagittariusScorpio,0.28
1074,Aries,Sagittarius,AriesSagittarius,0.93
1075,Aries,Libra,AriesLibra,0.85
1076,Pisces,Sagittarius,PiscesSagittarius,0.63
1077,Taurus,Aquarius,TaurusAquarius,0.58
1078,Pisces,Aries,PiscesAries,0.67
1080,Leo,Gemini,LeoGemini,0.88
1081,Virgo,Leo,VirgoLeo,0.35
1082,Cancer,Leo,CancerLeo,0.35
1083,Virgo,Leo,VirgoLeo,0.35
1084,Aries,Gemini,AriesGemini,0.83
1085,Libra,Cancer,LibraCancer,0.43
1086,Scorpio,Aquarius,ScorpioAquarius,0.73
1087,Pisces,Pisces,PiscesPisces,0.6
1088,Cancer,Gemini,CancerGemini,0.65
1089,Sagittarius,Taurus,SagittariusTaurus,0.3
1090,Capricorn,Gemini,CapricornGemini,0.68
1092,Aquarius,Gemini,AquariusGemini,0.85
1093,Virgo,Libra,VirgoLibra,0.69
1094,Capricorn,Aries,CapricornAries,0.47
1095,Scorpio,Gemini,ScorpioGemini,0.28
1096,Aries,Pisces,AriesPisces,0.67
1097,Sagittarius,Aries,SagittariusAries,0.93
1098,Scorpio,Scorpio,ScorpioScorpio,0.8
1099,Taurus,Pisces,TaurusPisces,0.85
1100,Leo,Virgo,LeoVirgo,0.35
1101,Libra,Sagittarius,LibraSagittarius,0.73
1102,Leo,Pisces,LeoPisces,0.38
1103,Cancer,Pisces,CancerPisces,0.98
1104,Sagittarius,Leo,SagittariusLeo,0.93
1105,Gemini,Aquarius,GeminiAquarius,0.85
1106,Cancer,Scorpio,CancerScorpio,0.94
1107,Gemini,Leo,GeminiLeo,0.88
1108,Libra,Libra,LibraLibra,0.75
1110,Pisces,Virgo,PiscesVirgo,0.88
1111,Cancer,Taurus,CancerTaurus,0.97
1112,Aquarius,Capricorn,AquariusCapricorn,0.69
1113,Sagittarius,Taurus,SagittariusTaurus,0.3
1114,Leo,Libra,LeoLibra,0.97
1115,Libra,Scorpio,LibraScorpio,0.35
1116,Pisces,Scorpio,PiscesScorpio,0.97
1117,Pisces,Sagittarius,PiscesSagittarius,0.63
1118,Sagittarius,Gemini,SagittariusGemini,0.6
1119,Capricorn,Taurus,CapricornTaurus,0.98
1120,Taurus,Virgo,TaurusVirgo,0.9
1121,Gemini,Aries,GeminiAries,0.83
1122,Capricorn,Cancer,CapricornCancer,0.83
1123,Leo,Aries,LeoAries,0.97
1124,Aries,Aries,AriesAries,0.5
1125,Sagittarius,Aries,SagittariusAries,0.93
1126,Gemini,Scorpio,GeminiScorpio,0.28
1127,Sagittarius,Virgo,SagittariusVirgo,0.48
1128,Pisces,Leo,PiscesLeo,0.38
1129,Leo,Leo,LeoLeo,0.45
1130,Libra,Virgo,LibraVirgo,0.68
1131,Virgo,Cancer,VirgoCancer,0.9
1132,Libra,Aquarius,LibraAquarius,0.9
1133,Cancer,Aries,CancerAries,0.42
1134,Capricorn,Scorpio,CapricornScorpio,0.95
1135,Aquarius,Aquarius,AquariusAquarius,0.45
1136,Taurus,Gemini,TaurusGemini,0.33
1137,Cancer,Pisces,CancerPisces,0.98
1138,Leo,Libra,LeoLibra,0.97
1139,Taurus,Libra,TaurusLibra,0.65
1140,Sagittarius,Gemini,SagittariusGemini,0.6
1141,Capricorn,Libra,CapricornLibra,0.55
1142,Sagittarius,Cancer,SagittariusCancer,0.53
1143,Gemini,Pisces,GeminiPisces,0.53
1144,Virgo,Pisces,VirgoPisces,0.88
1145,Aquarius,Taurus,AquariusTaurus,0.58
1146,Scorpio,Cancer,ScorpioCancer,0.94
1147,Scorpio,Aquarius,ScorpioAquarius,0.73
1148,Scorpio,Taurus,ScorpioTaurus,0.88
1149,Leo,Scorpio,LeoScorpio,0.58
1150,Sagittarius,Sagittarius,SagittariusSagittarius,0.45
1151,Libra,Virgo,LibraVirgo,0.68
1152,Virgo,Virgo,VirgoVirgo,0.65
1153,Capricorn,Cancer,CapricornCancer,0.83
1154,Taurus,Sagittarius,TaurusSagittarius,0.3
1155,Sagittarius,Leo,SagittariusLeo,0.93
1156,Scorpio,Sagittarius,ScorpioSagittarius,0.28
1158,Libra,Virgo,LibraVirgo,0.68
1159,Cancer,Libra,CancerLibra,0.43
1160,Aries,Scorpio,AriesScorpio,0.5
1161,Aquarius,Pisces,AquariusPisces,0.45
1162,Pisces,Sagittarius,PiscesSagittarius,0.63
1163,Taurus,Virgo,TaurusVirgo,0.9
1164,Virgo,Cancer,VirgoCancer,0.9
1165,Aries,Libra,AriesLibra,0.85
1166,Sagittarius,Aquarius,SagittariusAquarius,0.9
1167,Sagittarius,Pisces,SagittariusPisces,0.63
1168,Scorpio,Virgo,ScorpioVirgo,0.88
1169,Libra,Gemini,LibraGemini,0.93
1170,Capricorn,Leo,CapricornLeo,0.35
1171,Leo,Gemini,LeoGemini,0.88
1172,Taurus,Capricorn,TaurusCapricorn,0.98
1173,Aries,Gemini,AriesGemini,0.83
1174,Virgo,Capricorn,VirgoCapricorn,0.95
1179,Cancer,Taurus,CancerTaurus,0.97
1180,Libra,Virgo,LibraVirgo,0.68
1181,Aries,Sagittarius,AriesSagittarius,0.93
1182,Gemini,Scorpio,GeminiScorpio,0.28
1183,Scorpio,Pisces,ScorpioPisces,0.97
1184,Sagittarius,Leo,SagittariusLeo,0.93
1185,Aquarius,Gemini,AquariusGemini,0.85
1186,Pisces,Sagittarius,PiscesSagittarius,0.63
1188,Capricorn,Taurus,CapricornTaurus,0.98
1190,Virgo,Capricorn,VirgoCapricorn,0.95
1191,Virgo,Cancer,VirgoCancer,0.9
1192,Taurus,Pisces,TaurusPisces,0.85
1193,Libra,Cancer,LibraCancer,0.43
1194,Virgo,Virgo,VirgoVirgo,0.65
1196,Aquarius,Scorpio,AquariusScorpio,0.73
1197,Pisces,Pisces,PiscesPisces,0.6
1198,Aries,Libra,AriesLibra,0.85
1199,Pisces,Scorpio,PiscesScorpio,0.97
1200,Leo,Taurus,LeoTaurus,0.73
1201,Virgo,Leo,VirgoLeo,0.35
1202,Taurus,Virgo,TaurusVirgo,0.9
1203,Libra,Taurus,LibraTaurus,0.65
1204,Gemini,Capricorn,GeminiCapricorn,0.69
1205,Taurus,Aquarius,TaurusAquarius,0.58
1206,Sagittarius,Cancer,SagittariusCancer,0.53
1208,Cancer,Cancer,CancerCancer,0.75
1210,Pisces,Libra,PiscesLibra,0.88
1211,Gemini,Virgo,GeminiVirgo,0.68
1212,Capricorn,Cancer,CapricornCancer,0.83
1213,Cancer,Taurus,CancerTaurus,0.97
1214,Cancer,Virgo,CancerVirgo,0.9
1215,Cancer,Pisces,CancerPisces,0.98
1216,Virgo,Aquarius,VirgoAquarius,0.3
1218,Aries,Virgo,AriesVirgo,0.63
1219,Pisces,Taurus,PiscesTaurus,0.85
1220,Gemini,Virgo,GeminiVirgo,0.68
1221,Gemini,Leo,GeminiLeo,0.88
1222,Virgo,Pisces,VirgoPisces,0.88
1223,Taurus,Cancer,TaurusCancer,0.97
1224,Sagittarius,Gemini,SagittariusGemini,0.6
1225,Gemini,Libra,GeminiLibra,0.93
1226,Scorpio,Leo,ScorpioLeo,0.58
1227,Aquarius,Libra,AquariusLibra,0.9
1228,Scorpio,Aquarius,ScorpioAquarius,0.73
1229,Aries,Taurus,AriesTaurus,0.38
1230,Gemini,Pisces,GeminiPisces,0.53
1231,Capricorn,Sagittarius,CapricornSagittarius,0.6
1232,Gemini,Aquarius,GeminiAquarius,0.85
1234,Aquarius,Sagittarius,AquariusSagittarius,0.9
1235,Taurus,Libra,TaurusLibra,0.65
1237,Cancer,Pisces,CancerPisces,0.98
1238,Scorpio,Libra,ScorpioLibra,0.35
1239,Cancer,Libra,CancerLibra,0.43
1240,Virgo,Taurus,VirgoTaurus,0.9
1241,Aquarius,Capricorn,AquariusCapricorn,0.69
1242,Aquarius,Capricorn,AquariusCapricorn,0.69
1243,Taurus,Capricorn,TaurusCapricorn,0.98
1244,Cancer,Capricorn,CancerCapricorn,0.83
1245,Scorpio,Virgo,ScorpioVirgo,0.88
1246,Scorpio,Gemini,ScorpioGemini,0.28
1247,Leo,Sagittarius,LeoSagittarius,0.93
1248,Taurus,Scorpio,TaurusScorpio,0.88
1249,Taurus,Sagittarius,TaurusSagittarius,0.3
1250,Capricorn,Sagittarius,CapricornSagittarius,0.6
1251,Sagittarius,Leo,SagittariusLeo,0.93
1252,Aquarius,Sagittarius,AquariusSagittarius,0.9
1254,Cancer,Virgo,CancerVirgo,0.9
