,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
144,Sagittarius,Virgo,SagittariusVirgo,0.48
147,Scorpio,Capricorn,ScorpioCapricorn,0.95
148,Aries,Aquarius,AriesAquarius,0.78
149,Cancer,Leo,CancerLeo,0.35
150,Gemini,Leo,GeminiLeo,0.88
151,Aquarius,Aries,AquariusAries,0.78
153,Virgo,Aries,VirgoAries,0.63
154,Capricorn,Aquarius,CapricornAquarius,0.69
155,Pisces,Libra,PiscesLibra,0.88
156,Pisces,Aries,PiscesAries,0.67
157,Leo,Libra,LeoLibra,0.97
159,Sagittarius,Virgo,SagittariusVirgo,0.48
160,Aquarius,Leo,AquariusLeo,0.68
161,Aries,Gemini,AriesGemini,0.83
162,Aries,Leo,AriesLeo,0.97
163,Aquarius,Scorpio,AquariusScorpio,0.73
164,Leo,Gemini,LeoGemini,0.88
165,Scorpio,Leo,ScorpioLeo,0.58
167,Libra,Libra,LibraLibra,0.75
168,Leo,Gemini,LeoGemini,0.88
169,Sagittarius,Aries,SagittariusAries,0.93
170,Pisces,Sagittarius,PiscesSagittarius,0.63
171,Taurus,Gemini,TaurusGemini,0.33
172,Cancer,Aquarius,CancerAquarius,0.27
173,Aquarius,Taurus,AquariusTaurus,0.58
174,Aquarius,Capricorn,AquariusCapricorn,0.69
177,Sagittarius,Libra,SagittariusLibra,0.73
178,Libra,Sagittarius,LibraSagittarius,0.73
180,Libra,Libra,LibraLibra,0.75
181,Scorpio,Leo,ScorpioLeo,0.58
182,Cancer,Libra,CancerLibra,0.43
184,Virgo,Sagittarius,VirgoSagittarius,0.48
185,Aquarius,Pisces,AquariusPisces,0.45
187,Gemini,Aries,GeminiAries,0.83
188,Taurus,Taurus,TaurusTaurus,0.58
189,Sagittarius,Scorpio,SagittariusScorpio,0.28
190,Pisces,Sagittarius,PiscesSagittarius,0.63
191,Virgo,Leo,VirgoLeo,0.35
192,Leo,Virgo,LeoVirgo,0.35
193,Gemini,Sagittarius,GeminiSagittarius,0.6
194,Sagittarius,Scorpio,SagittariusScorpio,0.28
195,Sagittarius,Aries,SagittariusAries,0.93
196,Gemini,Scorpio,GeminiScorpio,0.28
197,Scorpio,Pisces,ScorpioPisces,0.97
198,Gemini,Sagittarius,GeminiSagittarius,0.6
199,Pisces,Virgo,PiscesVirgo,0.88
200,Scorpio,Leo,ScorpioLeo,0.58
201,Taurus,Gemini,TaurusGemini,0.33
203,Taurus,Aries,TaurusAries,0.38
204,Aries,Cancer,AriesCancer,0.42
205,Aquarius,Aries,AquariusAries,0.78
206,Taurus,Aquarius,TaurusAquarius,0.58
207,Leo,Sagittarius,LeoSagittarius,0.93
208,Scorpio,Aquarius,ScorpioAquarius,0.73
210,Virgo,Libra,VirgoLibra,0.69
211,Scorpio,Taurus,ScorpioTaurus,0.88
212,Gemini,Leo,GeminiLeo,0.88
213,Aquarius,Capricorn,AquariusCapricorn,0.69
214,Taurus,Aries,TaurusAries,0.38
215,Capricorn,Scorpio,CapricornScorpio,0.95
216,Leo,Scorpio,LeoScorpio,0.58
217,Aquarius,Virgo,AquariusVirgo,0.3
218,Aquarius,Aquarius,AquariusAquarius,0.45
219,Cancer,Sagittarius,CancerSagittarius,0.53
220,Libra,Virgo,LibraVirgo,0.68
221,Leo,Gemini,LeoGemini,0.88
223,Sagittarius,Leo,SagittariusLeo,0.93
225,Gemini,Virgo,GeminiVirgo,0.68
226,Aries,Aquarius,AriesAquarius,0.78
227,Cancer,Sagittarius,CancerSagittarius,0.53
228,Aquarius,Leo,AquariusLeo,0.68
229,Cancer,Sagittarius,CancerSagittarius,0.53
230,Taurus,Leo,TaurusLeo,0.73
231,Aries,Virgo,AriesVirgo,0.63
232,Aries,Virgo,AriesVirgo,0.63
233,Pisces,Aries,PiscesAries,0.67
234,Gemini,Pisces,GeminiPisces,0.53
235,Libra,Scorpio,LibraScorpio,0.35
236,Gemini,Virgo,GeminiVirgo,0.68
239,Aries,Scorpio,AriesScorpio,0.5
241,Libra,Scorpio,LibraScorpio,0.35
242,Libra,Aquarius,LibraAquarius,0.9
243,Capricorn,Aries,CapricornAries,0.47
244,Gemini,Capricorn,GeminiCapricorn,0.69
245,Cancer,Sagittarius,CancerSagittarius,0.53
246,Gemini,Pisces,GeminiPisces,0.53
248,Capricorn,Pisces,CapricornPisces,0.88
249,Virgo,Gemini,VirgoGemini,0.68
250,Cancer,Aquarius,CancerAquarius,0.27
251,Aquarius,Libra,AquariusLibra,0.9
253,Libra,Scorpio,LibraScorpio,0.35
254,Taurus,Aquarius,TaurusAquarius,0.58
255,Leo,Aquarius,LeoAquarius,0.69
256,Cancer,Taurus,CancerTaurus,0.97
257,Taurus,Gemini,TaurusGemini,0.33
258,Capricorn,Aries,CapricornAries,0.47
259,Scorpio,Aries,ScorpioAries,0.5
260,Scorpio,Pisces,ScorpioPisces,0.97
261,Capricorn,Scorpio,CapricornScorpio,0.95
262,Taurus,Capricorn,TaurusCapricorn,0.98
263,Libra,Virgo,LibraVirgo,0.68
264,Taurus,Capricorn,TaurusCapricorn,0.98
265,Cancer,Pisces,CancerPisces,0.98
266,Gemini,Aries,GeminiAries,0.83
267,Libra,Gemini,LibraGemini,0.93
268,Sagittarius,Aries,SagittariusAries,0.93
269,Leo,Gemini,LeoGemini,0.88
270,Cancer,Sagittarius,CancerSagittarius,0.53
271,Virgo,Aries,VirgoAries,0.63
272,Libra,Libra,LibraLibra,0.75
273,Leo,Scorpio,LeoScorpio,0.58
274,Aries,Libra,AriesLibra,0.85
275,Leo,Libra,LeoLibra,0.97
276,Scorpio,Cancer,ScorpioCancer,0.94
277,Cancer,Cancer,CancerCancer,0.75
278,Virgo,Scorpio,VirgoScorpio,0.88
279,Sagittarius,Sagittarius,SagittariusSagittarius,0.45
280,Cancer,Gemini,CancerGemini,0.65
281,Taurus,Capricorn,TaurusCapricorn,0.98
282,Taurus,Libra,TaurusLibra,0.65
284,Scorpio,Scorpio,ScorpioScorpio,0.8
285,Aries,Leo,AriesLeo,0.97
286,Gemini,Taurus,GeminiTaurus,0.33
287,Scorpio,Capricorn,ScorpioCapricorn,0.95
288,Cancer,Pisces,CancerPisces,0.98
289,Virgo,Pisces,VirgoPisces,0.88
290,Virgo,Virgo,VirgoVirgo,0.65
291,Scorpio,Aries,ScorpioAries,0.5
292,Leo,Leo,LeoLeo,0.45
293,Virgo,Gemini,VirgoGemini,0.68
294,Aries,Pisces,AriesPisces,0.67
296,Leo,Libra,LeoLibra,0.97
297,Scorpio,Taurus,ScorpioTaurus,0.88
298,Cancer,Scorpio,CancerScorpio,0.94
299,Aquarius,Virgo,AquariusVirgo,0.3
300,Taurus,Sagittarius,TaurusSagittarius,0.3
301,Sagittarius,Cancer,SagittariusCancer,0.53
302,Virgo,Libra,VirgoLibra,0.69
303,Leo,Gemini,LeoGemini,0.88
304,Virgo,Aquarius,VirgoAquarius,0.3
305,Libra,Pisces,LibraPisces,0.88
306,Sagittarius,Aquarius,SagittariusAquarius,0.9
310,Aquarius,Gemini,AquariusGemini,0.85
311,Sagittarius,Taurus,SagittariusTaurus,0.3
312,Leo,Leo,LeoLeo,0.45
313,Virgo,Aries,VirgoAries,0.63
314,Virgo,Taurus,VirgoTaurus,0.9
315,Libra,Cancer,LibraCancer,0.43
316,Libra,Aries,LibraAries,0.85
317,Leo,Taurus,LeoTaurus,0.73
318,Libra,Scorpio,LibraScorpio,0.35
319,Sagittarius,Taurus,SagittariusTaurus,0.3
320,Capricorn,Pisces,CapricornPisces,0.88
322,Capricorn,Leo,CapricornLeo,0.35
323,Aries,Leo,AriesLeo,0.97
324,Libra,Leo,LibraLeo,0.97
325,Pisces,Libra,PiscesLibra,0.88
326,Aries,Leo,AriesLeo,0.97
327,Taurus,Cancer,TaurusCancer,0.97
328,Taurus,Virgo,TaurusVirgo,0.9
329,Scorpio,Leo,ScorpioLeo,0.58
330,Leo,Aquarius,LeoAquarius,0.69
331,Pisces,Libra,PiscesLibra,0.88
332,Gemini,Scorpio,GeminiScorpio,0.28
333,Scorpio,Sagittarius,ScorpioSagittarius,0.28
334,Scorpio,Gemini,ScorpioGemini,0.28
335,Taurus,Capricorn,TaurusCapricorn,0.98
336,Virgo,Aquarius,VirgoAquarius,0.3
337,Pisces,Libra,PiscesLibra,0.88
338,Sagittarius,Capricorn,SagittariusCapricorn,0.6
339,Pisces,Aquarius,PiscesAquarius,0.45
340,Virgo,Leo,VirgoLeo,0.35
341,Scorpio,Scorpio,ScorpioScorpio,0.8
342,Scorpio,Cancer,ScorpioCancer,0.94
343,Sagittarius,Aries,SagittariusAries,0.93
344,Aquarius,Sagittarius,AquariusSagittarius,0.9
345,Scorpio,Sagittarius,ScorpioSagittarius,0.28
346,Gemini,Sagittarius,GeminiSagittarius,0.6
347,Cancer,Cancer,CancerCancer,0.75
348,Libra,Taurus,LibraTaurus,0.65
349,Gemini,Pisces,GeminiPisces,0.53
350,Pisces,Cancer,PiscesCancer,0.98
351,Aries,Cancer,AriesCancer,0.42
352,Scorpio,Gemini,ScorpioGemini,0.28
353,Sagittarius,Cancer,SagittariusCancer,0.53
354,Libra,Aries,LibraAries,0.85
355,Virgo,Taurus,VirgoTaurus,0.9
356,Gemini,Aries,GeminiAries,0.83
357,Leo,Capricorn,LeoCapricorn,0.35
358,Virgo,Pisces,VirgoPisces,0.88
359,Cancer,Aries,CancerAries,0.42
360,Libra,Gemini,LibraGemini,0.93
361,Capricorn,Taurus,CapricornTaurus,0.98
362,Aquarius,Leo,AquariusLeo,0.68
363,Gemini,Leo,GeminiLeo,0.88
364,Virgo,Aquarius,VirgoAquarius,0.3
365,Sagittarius,Cancer,SagittariusCancer,0.53
366,Libra,Aquarius,LibraAquarius,0.9
367,Aries,Aquarius,AriesAquarius,0.78
368,Scorpio,Aquarius,ScorpioAquarius,0.73
369,Scorpio,Virgo,ScorpioVirgo,0.88
370,Sagittarius,Cancer,SagittariusCancer,0.53
371,Taurus,Virgo,TaurusVirgo,0.9
372,Pisces,Virgo,PiscesVirgo,0.88
373,Scorpio,Virgo,ScorpioVirgo,0.88
374,Sagittarius,Leo,SagittariusLeo,0.93
375,Aries,Libra,AriesLibra,0.85
376,Taurus,Pisces,TaurusPisces,0.85
377,Taurus,Leo,TaurusLeo,0.73
379,Taurus,Libra,TaurusLibra,0.65
380,Aquarius,Libra,AquariusLibra,0.9
381,Taurus,Cancer,TaurusCancer,0.97
382,Aquarius,Aquarius,AquariusAquarius,0.45
383,Capricorn,Aries,CapricornAries,0.47
384,Scorpio,Pisces,ScorpioPisces,0.97
385,Aries,Gemini,AriesGemini,0.83
386,Taurus,Capricorn,TaurusCapricorn,0.98
387,Libra,Scorpio,LibraScorpio,0.35
388,Pisces,Taurus,PiscesTaurus,0.85
390,Sagittarius,Virgo,SagittariusVirgo,0.48
391,Aries,Aquarius,AriesAquarius,0.78
392,Taurus,Aries,TaurusAries,0.38
393,Aquarius,Aquarius,AquariusAquarius,0.45
394,Capricorn,Sagittarius,CapricornSagittarius,0.6
395,Gemini,Libra,GeminiLibra,0.93
396,Libra,Capricorn,LibraCapricorn,0.55
397,Sagittarius,Aries,SagittariusAries,0.93
398,Libra,Cancer,LibraCancer,0.43
399,Taurus,Aries,TaurusAries,0.38
400,Aries,Gemini,AriesGemini,0.83
404,Leo,Virgo,LeoVirgo,0.35
405,Aries,Capricorn,AriesCapricorn,0.47
406,Aries,Cancer,AriesCancer,0.42
407,Libra,Pisces,LibraPisces,0.88
408,Pisces,Aries,PiscesAries,0.67
409,Leo,Pisces,LeoPisces,0.38
410,Aquarius,Pisces,AquariusPisces,0.45
411,Libra,Gemini,LibraGemini,0.93
412,Aries,Taurus,AriesTaurus,0.38
413,Aquarius,Gemini,AquariusGemini,0.85
414,Pisces,Cancer,PiscesCancer,0.98
415,Capricorn,Sagittarius,CapricornSagittarius,0.6
416,Aquarius,Libra,AquariusLibra,0.9
417,Scorpio,Pisces,ScorpioPisces,0.97
418,Pisces,Pisces,PiscesPisces,0.6
419,Taurus,Sagittarius,TaurusSagittarius,0.3
420,Leo,Capricorn,LeoCapricorn,0.35
422,Cancer,Taurus,CancerTaurus,0.97
423,Taurus,Libra,TaurusLibra,0.65
424,Libra,Sagittarius,LibraSagittarius,0.73
425,Leo,Pisces,LeoPisces,0.38
426,Sagittarius,Scorpio,SagittariusScorpio,0.28
427,Aries,Leo,AriesLeo,0.97
428,Cancer,Gemini,CancerGemini,0.65
429,Virgo,Aries,VirgoAries,0.63
430,Aries,Capricorn,AriesCapricorn,0.47
431,Gemini,Libra,GeminiLibra,0.93
432,Leo,Pisces,LeoPisces,0.38
