Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
Aquarius,Leo,AquariusLeo,0.68
Aries,Gemini,AriesGemini,0.83
Aries,Leo,AriesLeo,0.97
Aquarius,Scorpio,AquariusScorpio,0.73
Leo,Gemini,LeoGemini,0.88
Scorpio,Leo,ScorpioLeo,0.58
Libra,Libra,LibraLibra,0.75
Leo,Gemini,LeoGemini,0.88
Sagittarius,Aries,SagittariusAries,0.93
Pisces,Sagittarius,PiscesSagittarius,0.63
Taurus,Gemini,TaurusGemini,0.33
Cancer,Aquarius,CancerAquarius,0.27
Aquarius,Taurus,AquariusTaurus,0.58
Aquarius,Capricorn,AquariusCapricorn,0.69
Sagittarius,Libra,SagittariusLibra,0.73
Libra,Sagittarius,LibraSagittarius,0.73
Libra,Libra,LibraLibra,0.75
Scorpio,Leo,ScorpioLeo,0.58
Cancer,Libra,CancerLibra,0.43
Virgo,Sagittarius,VirgoSagittarius,0.48
Aquarius,Pisces,AquariusPisces,0.45
Gemini,Aries,GeminiAries,0.83
Taurus,Taurus,TaurusTaurus,0.58
Sagittarius,Scorpio,SagittariusScorpio,0.28
Pisces,Sagittarius,PiscesSagittarius,0.63
Virgo,Leo,VirgoLeo,0.35
Leo,Virgo,LeoVirgo,0.35
Gemini,Sagittarius,GeminiSagittarius,0.6
Sagittarius,Scorpio,SagittariusScorpio,0.28
Sagittarius,Aries,SagittariusAries,0.93
Gemini,Scorpio,GeminiScorpio,0.28
Scorpio,Pisces,ScorpioPisces,0.97
Gemini,Sagittarius,GeminiSagittarius,0.6
Pisces,Virgo,PiscesVirgo,0.88
Scorpio,Leo,ScorpioLeo,0.58
Taurus,Gemini,TaurusGemini,0.33
Taurus,Aries,TaurusAries,0.38
Aries,Cancer,AriesCancer,0.42
Aquarius,Aries,AquariusAries,0.78
Taurus,Aquarius,TaurusAquarius,0.58
Leo,Sagittarius,LeoSagittarius,0.93
Scorpio,Aquarius,ScorpioAquarius,0.73
Virgo,Libra,VirgoLibra,0.69
Scorpio,Taurus,ScorpioTaurus,0.88
Gemini,Leo,GeminiLeo,0.88
Aquarius,Capricorn,AquariusCapricorn,0.69
Taurus,Aries,TaurusAries,0.38
Capricorn,Scorpio,CapricornScorpio,0.95
Leo,Scorpio,LeoScorpio,0.58
Aquarius,Virgo,AquariusVirgo,0.3
Aquarius,Aquarius,AquariusAquarius,0.45
Cancer,Sagittarius,CancerSagittarius,0.53
Libra,Virgo,LibraVirgo,0.68
Leo,Gemini,LeoGemini,0.88
Sagittarius,Leo,SagittariusLeo,0.93
Gemini,Virgo,GeminiVirgo,0.68
Aries,Aquarius,AriesAquarius,0.78
Cancer,Sagittarius,CancerSagittarius,0.53
Aquarius,Leo,AquariusLeo,0.68
Cancer,Sagittarius,CancerSagittarius,0.53
Taurus,Leo,TaurusLeo,0.73
Aries,Virgo,AriesVirgo,0.63
Aries,Virgo,AriesVirgo,0.63
Pisces,Aries,PiscesAries,0.67
Gemini,Pisces,GeminiPisces,0.53
Libra,Scorpio,LibraScorpio,0.35
Gemini,Virgo,GeminiVirgo,0.68
Aries,Scorpio,AriesScorpio,0.5
Libra,Scorpio,LibraScorpio,0.35
Libra,Aquarius,LibraAquarius,0.9
Capricorn,Aries,CapricornAries,0.47
Gemini,Capricorn,GeminiCapricorn,0.69
Cancer,Sagittarius,CancerSagittarius,0.53
Gemini,Pisces,GeminiPisces,0.53
Capricorn,Pisces,CapricornPisces,0.88
Virgo,Gemini,VirgoGemini,0.68
Cancer,Aquarius,CancerAquarius,0.27
Aquarius,Libra,AquariusLibra,0.9
Libra,Scorpio,LibraScorpio,0.35
Taurus,Aquarius,TaurusAquarius,0.58
Leo,Aquarius,LeoAquarius,0.69
Cancer,Taurus,CancerTaurus,0.97
Taurus,Gemini,TaurusGemini,0.33
Capricorn,Aries,CapricornAries,0.47
Scorpio,Aries,ScorpioAries,0.5
Scorpio,Pisces,ScorpioPisces,0.97
Capricorn,Scorpio,CapricornScorpio,0.95
Taurus,Capricorn,TaurusCapricorn,0.98
Libra,Virgo,LibraVirgo,0.68
Taurus,Capricorn,TaurusCapricorn,0.98
Cancer,Pisces,CancerPisces,0.98
Gemini,Aries,GeminiAries,0.83
Libra,Gemini,LibraGemini,0.93
Sagittarius,Aries,SagittariusAries,0.93
Leo,Gemini,LeoGemini,0.88
Cancer,Sagittarius,CancerSagittarius,0.53
Virgo,Aries,VirgoAries,0.63
Libra,Libra,LibraLibra,0.75
Leo,Scorpio,LeoScorpio,0.58
Aries,Libra,AriesLibra,0.85
Leo,Libra,LeoLibra,0.97
