,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate,Compatibility
118,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
119,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
120,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
121,Virgo,Aries,VirgoAries,63%,Bad_fit
122,Pisces,Libra,PiscesLibra,88%,Good_fit
123,Taurus,Leo,TaurusLeo,73%,Good_fit
124,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
125,Aries,Pisces,AriesPisces,67%,Bad_fit
126,Gemini,Aquarius,GeminiAquarius,85%,Good_fit
127,Gemini,Aquarius,GeminiAquarius,85%,Good_fit
128,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
130,Aries,Libra,AriesLibra,85%,Good_fit
131,Libra,Cancer,LibraCancer,43%,Bad_fit
133,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
134,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
135,Scorpio,Taurus,ScorpioTaurus,88%,Good_fit
136,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
137,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
138,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
139,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
140,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
141,Taurus,Aquarius,TaurusAquarius,58%,Bad_fit
143,Leo,Aries,LeoAries,97%,Good_fit
144,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
147,Scorpio,Capricorn,ScorpioCapricorn,95%,Good_fit
148,Aries,Aquarius,AriesAquarius,78%,Good_fit
149,Cancer,Leo,CancerLeo,35%,Bad_fit
150,Gemini,Leo,GeminiLeo,88%,Good_fit
151,Aquarius,Aries,AquariusAries,78%,Good_fit
153,Virgo,Aries,VirgoAries,63%,Bad_fit
154,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
155,Pisces,Libra,PiscesLibra,88%,Good_fit
156,Pisces,Aries,PiscesAries,67%,Bad_fit
157,Leo,Libra,LeoLibra,97%,Good_fit
159,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
160,Aquarius,Leo,AquariusLeo,68%,Bad_fit
161,Aries,Gemini,AriesGemini,83%,Good_fit
162,Aries,Leo,AriesLeo,97%,Good_fit
163,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
164,Leo,Gemini,LeoGemini,88%,Good_fit
